Order_ID,Order_Date,Customer_ID,Category,Sales,Profit,Discount
ORD-00068,2024-02-22,CUST-0071,Furniture,389.39,2.62,0.17
ORD-00069,2024-02-18,CUST-0004,Office Supplies,69.66,6.63,0.12
ORD-00070,2024-02-01,CUST-0010,Technology,317.7,27.11,0.24
ORD-00071,2024-02-09,CUST-0061,Technology,425.1,62.36,0.13
ORD-00072,2024-02-09,CUST-0110,Technology,878.14,108.96,0.17
ORD-00073,2024-02-20,CUST-0001,Technology,421.28,66.04,0.11
ORD-00074,2024-02-24,CUST-0095,Furniture,510.99,23.27,0.1
ORD-00075,2024-02-14,CUST-0092,Office Supplies,57.45,6.25,0.09
ORD-00076,2024-02-17,CUST-0096,Furniture,367.64,2.1,0.17
ORD-00077,2024-02-19,CUST-0035,Technology,393.45,60.05,0.12
ORD-00078,2024-02-02,CUST-0078,Technology,533.48,86.56,0.1
ORD-00079,2024-02-01,CUST-0093,Office Supplies,79.28,10.07,0.06
ORD-00080,2024-02-26,CUST-0007,Furniture,407.63,18.79,0.1
ORD-00081,2024-02-24,CUST-0108,Furniture,138.65,-9.16,0.3
ORD-00082,2024-02-24,CUST-0036,Office Supplies,112.32,14.61,0.05
ORD-00083,2024-02-12,CUST-0118,Office Supplies,114.28,9.51,0.14
ORD-00084,2024-02-22,CUST-0005,Furniture,453.81,9.91,0.14
ORD-00085,2024-02-20,CUST-0115,Office Supplies,138.07,15.69,0.08
ORD-00086,2024-02-28,CUST-0045,Technology,531.45,88.79,0.1
ORD-00087,2024-02-10,CUST-0014,Technology,501.77,60.71,0.18
ORD-00088,2024-02-22,CUST-0073,Furniture,491.64,13.77,0.13
ORD-00089,2024-02-13,CUST-0094,Furniture,189.51,-7.2,0.25
ORD-00090,2024-02-18,CUST-0028,Office Supplies,125.38,11.94,0.12
ORD-00091,2024-02-14,CUST-0020,Technology,307.85,37.74,0.18
ORD-00092,2024-02-13,CUST-0107,Office Supplies,148.19,21.63,0.03
ORD-00093,2024-02-06,CUST-0112,Office Supplies,75.65,10.88,0.03
ORD-00094,2024-02-10,CUST-0055,Furniture,420.91,10.54,0.14
ORD-00095,2024-02-27,CUST-0101,Furniture,279.5,-5.23,0.22
ORD-00096,2024-02-10,CUST-0117,Technology,455.12,72.17,0.11
ORD-00097,2024-02-26,CUST-0027,Technology,307.75,38.59,0.17
ORD-00098,2024-02-21,CUST-0083,Furniture,171.14,-2.66,0.21
ORD-00099,2024-02-15,CUST-0034,Technology,771.59,100.83,0.16
ORD-00100,2024-02-07,CUST-0075,Furniture,395.07,15.83,0.11
ORD-00101,2024-02-26,CUST-0021,Furniture,197.17,9.06,0.1
ORD-00102,2024-02-26,CUST-0103,Office Supplies,72.77,7.62,0.1
ORD-00103,2024-02-22,CUST-0061,Office Supplies,67.61,9.3,0.04
ORD-00104,2024-02-17,CUST-0068,Technology,699.91,97.63,0.15
ORD-00105,2024-02-20,CUST-0070,Office Supplies,97.66,10.98,0.09
ORD-00106,2024-02-27,CUST-0031,Technology,339.69,35.83,0.21
ORD-00107,2024-02-08,CUST-0088,Office Supplies,46.67,4.16,0.13
ORD-00108,2024-02-08,CUST-0021,Office Supplies,83.99,7.87,0.12
ORD-00109,2024-02-05,CUST-0092,Office Supplies,63.55,4.49,0.16
ORD-00110,2024-02-08,CUST-0054,Technology,619.32,101.97,0.1
ORD-00111,2024-02-20,CUST-0064,Office Supplies,107.72,14.2,0.05
ORD-00112,2024-02-03,CUST-0032,Office Supplies,111.72,8.9,0.15
ORD-00113,2024-03-21,CUST-0025,Furniture,397.4,20.75,0.09
ORD-00114,2024-03-23,CUST-0066,Furniture,387.76,-4.83,0.2
ORD-00115,2024-03-16,CUST-0011,Office Supplies,51.0,1.51,0.24
ORD-00116,2024-03-05,CUST-0071,Furniture,492.17,19.45,0.11
ORD-00117,2024-03-01,CUST-0001,Office Supplies,71.84,7.61,0.1
ORD-00118,2024-03-28,CUST-0032,Office Supplies,91.78,10.86,0.08
ORD-00119,2024-03-04,CUST-0100,Office Supplies,40.16,2.93,0.16
ORD-00120,2024-03-08,CUST-0028,Office Supplies,85.68,6.67,0.15
ORD-00121,2024-03-23,CUST-0047,Technology,522.22,68.63,0.16
ORD-00122,2024-03-02,CUST-0048,Furniture,475.08,13.28,0.13
ORD-00123,2024-03-28,CUST-0035,Furniture,359.94,11.11,0.13
ORD-00124,2024-03-05,CUST-0026,Technology,646.08,96.99,0.13
ORD-00125,2024-03-22,CUST-0033,Office Supplies,37.96,1.8,0.2
ORD-00126,2024-03-18,CUST-0047,Furniture,309.86,16.04,0.09
ORD-00127,2024-03-25,CUST-0076,Furniture,151.71,-3.75,0.23
ORD-00128,2024-03-20,CUST-0024,Office Supplies,130.93,12.99,0.11
ORD-00129,2024-03-17,CUST-0042,Office Supplies,80.25,7.07,0.13
ORD-00130,2024-03-18,CUST-0086,Furniture,265.88,-10.26,0.25
ORD-00131,2024-03-06,CUST-0056,Furniture,312.31,-7.07,0.22
ORD-00132,2024-03-16,CUST-0042,Office Supplies,53.8,4.76,0.13
ORD-00133,2024-03-25,CUST-0070,Furniture,383.01,2.21,0.17
ORD-00134,2024-03-21,CUST-0030,Technology,541.73,69.47,0.17
ORD-00135,2024-03-25,CUST-0115,Technology,507.62,64.54,0.17
ORD-00136,2024-03-21,CUST-0012,Furniture,617.69,-10.08,0.21
ORD-00137,2024-03-15,CUST-0005,Technology,682.2,92.38,0.15
ORD-00138,2024-03-10,CUST-0028,Technology,330.98,50.79,0.12
ORD-00139,2024-03-11,CUST-0067,Technology,158.67,20.13,0.17
ORD-00140,2024-03-18,CUST-0104,Technology,468.5,69.49,0.13
ORD-00141,2024-03-05,CUST-0078,Technology,428.91,52.11,0.18
ORD-00142,2024-03-23,CUST-0028,Technology,555.09,55.81,0.22
ORD-00143,2024-03-07,CUST-0015,Technology,226.56,23.86,0.21
ORD-00144,2024-03-14,CUST-0037,Technology,571.31,63.3,0.2
ORD-00145,2024-03-15,CUST-0014,Technology,543.51,78.79,0.14
ORD-00146,2024-03-07,CUST-0068,Furniture,519.41,3.12,0.17
ORD-00147,2024-03-13,CUST-0051,Office Supplies,90.05,8.21,0.13
ORD-00148,2024-03-19,CUST-0089,Office Supplies,102.41,13.16,0.06
ORD-00149,2024-03-01,CUST-0016,Office Supplies,41.56,2.53,0.18
ORD-00150,2024-03-25,CUST-0043,Office Supplies,88.01,8.15,0.12
ORD-00151,2024-03-16,CUST-0038,Furniture,377.43,10.27,0.13
ORD-00152,2024-03-12,CUST-0011,Technology,636.95,61.67,0.22
ORD-00153,2024-03-13,CUST-0089,Technology,547.58,66.95,0.18
ORD-00154,2024-03-27,CUST-0116,Office Supplies,84.36,9.96,0.08
ORD-00155,2024-03-24,CUST-0083,Furniture,317.75,0.26,0.18
ORD-00156,2024-03-26,CUST-0027,Office Supplies,87.85,9.51,0.09
ORD-00157,2024-03-08,CUST-0068,Furniture,360.54,15.91,0.1
ORD-00158,2024-03-09,CUST-0019,Furniture,387.65,-29.15,0.32
ORD-00159,2024-03-01,CUST-0052,Furniture,419.48,12.01,0.13
ORD-00160,2024-03-22,CUST-0018,Furniture,526.24,4.69,0.17
ORD-00161,2024-03-13,CUST-0077,Office Supplies,101.88,13.18,0.06
ORD-00162,2024-03-27,CUST-0058,Office Supplies,53.22,2.01,0.22
ORD-00163,2024-03-05,CUST-0113,Furniture,292.52,0.93,0.18
ORD-00164,2024-03-18,CUST-0117,Office Supplies,128.48,16.7,0.05
ORD-00165,2024-03-13,CUST-0039,Technology,351.67,28.43,0.25
ORD-00166,2024-03-22,CUST-0120,Furniture,257.61,4.82,0.15
ORD-00167,2024-03-21,CUST-0005,Technology,635.61,93.65,0.13
ORD-00168,2024-03-28,CUST-0020,Furniture,195.99,-8.08,0.26
ORD-00169,2024-03-02,CUST-0066,Furniture,443.88,17.65,0.11
ORD-00170,2024-03-11,CUST-0069,Technology,526.55,95.55,0.07
ORD-00171,2024-03-11,CUST-0113,Technology,470.12,77.56,0.1
ORD-00172,2024-03-13,CUST-0037,Technology,248.64,34.78,0.15
ORD-00173,2024-03-27,CUST-0015,Technology,323.26,36.09,0.2
ORD-00174,2024-03-27,CUST-0079,Furniture,292.3,7.07,0.14
ORD-00175,2024-03-01,CUST-0027,Technology,693.94,116.02,0.1
ORD-00176,2024-03-02,CUST-0119,Office Supplies,87.0,4.88,0.19
ORD-00177,2024-03-12,CUST-0014,Office Supplies,132.59,10.84,0.14
ORD-00178,2024-04-03,CUST-0030,Technology,602.02,110.1,0.07
ORD-00179,2024-04-21,CUST-0042,Office Supplies,102.83,11.71,0.08
ORD-00180,2024-04-01,CUST-0008,Technology,677.47,91.27,0.16
ORD-00181,2024-04-07,CUST-0008,Office Supplies,81.93,12.87,0.01
ORD-00182,2024-04-20,CUST-0053,Office Supplies,109.41,10.32,0.12
ORD-00183,2024-04-05,CUST-0116,Technology,415.58,68.13,0.1
ORD-00184,2024-04-04,CUST-0066,Furniture,463.61,18.4,0.11
ORD-00185,2024-04-07,CUST-0085,Furniture,623.23,28.53,0.1
ORD-00186,2024-04-09,CUST-0111,Furniture,153.57,-4.46,0.23
ORD-00187,2024-04-06,CUST-0043,Office Supplies,79.51,8.58,0.09
ORD-00188,2024-04-24,CUST-0117,Furniture,345.58,4.84,0.16
ORD-00189,2024-04-25,CUST-0084,Office Supplies,142.57,12.37,0.13
ORD-00190,2024-04-10,CUST-0075,Office Supplies,118.32,16.75,0.03
ORD-00191,2024-04-01,CUST-0112,Technology,458.92,69.63,0.12
ORD-00192,2024-04-19,CUST-0100,Office Supplies,55.63,3.05,0.19
ORD-00193,2024-04-13,CUST-0016,Office Supplies,75.53,5.35,0.16
ORD-00194,2024-04-23,CUST-0114,Furniture,424.72,8.94,0.14
ORD-00195,2024-04-19,CUST-0117,Technology,529.18,104.53,0.04
ORD-00196,2024-04-21,CUST-0049,Office Supplies,50.26,4.02,0.15
ORD-00197,2024-04-23,CUST-0021,Technology,664.37,117.91,0.08
ORD-00198,2024-04-28,CUST-0025,Office Supplies,70.1,5.14,0.16
ORD-00199,2024-04-26,CUST-0075,Office Supplies,83.28,8.12,0.11
ORD-00200,2024-04-19,CUST-0048,Technology,614.02,77.66,0.17
ORD-00201,2024-04-12,CUST-0076,Office Supplies,44.75,3.69,0.14
ORD-00202,2024-04-22,CUST-0114,Furniture,632.8,0.36,0.18
ORD-00203,2024-04-17,CUST-0064,Furniture,486.12,-10.24,0.22
ORD-00204,2024-04-01,CUST-0041,Furniture,330.02,8.9,0.13
ORD-00205,2024-04-27,CUST-0030,Office Supplies,102.29,9.47,0.12
ORD-00206,2024-04-14,CUST-0022,Furniture,436.11,3.02,0.17
ORD-00207,2024-04-21,CUST-0116,Office Supplies,141.91,20.99,0.02
ORD-00208,2024-04-15,CUST-0041,Office Supplies,98.32,9.21,0.12
ORD-00209,2024-04-14,CUST-0092,Office Supplies,53.2,3.64,0.17
ORD-00210,2024-04-17,CUST-0056,Technology,332.81,51.98,0.12
ORD-00211,2024-04-09,CUST-0061,Office Supplies,110.97,12.06,0.09
ORD-00212,2024-04-18,CUST-0078,Furniture,481.97,12.46,0.13
ORD-00213,2024-04-15,CUST-0109,Office Supplies,65.96,7.05,0.1
ORD-00214,2024-04-24,CUST-0087,Furniture,350.07,10.62,0.13
ORD-00215,2024-04-11,CUST-0099,Furniture,334.36,3.96,0.16
ORD-00216,2024-04-27,CUST-0012,Office Supplies,103.83,6.93,0.17
ORD-00217,2024-04-09,CUST-0061,Office Supplies,100.42,11.48,0.08
ORD-00218,2024-04-08,CUST-0006,Office Supplies,97.33,9.94,0.11
ORD-00219,2024-04-19,CUST-0029,Office Supplies,63.1,7.52,0.07
ORD-00220,2024-04-13,CUST-0057,Furniture,418.54,9.02,0.14
ORD-00221,2024-04-16,CUST-0073,Technology,843.86,137.75,0.1
ORD-00222,2024-04-06,CUST-0092,Office Supplies,46.01,4.89,0.1
ORD-00223,2024-04-12,CUST-0031,Furniture,363.1,-19.9,0.28
ORD-00224,2024-04-11,CUST-0083,Office Supplies,64.53,3.64,0.19
ORD-00225,2024-04-20,CUST-0023,Technology,638.33,97.16,0.12
ORD-00226,2024-04-09,CUST-0016,Office Supplies,56.97,4.59,0.14
ORD-00227,2024-04-17,CUST-0095,Furniture,564.03,5.5,0.16
ORD-00228,2024-04-03,CUST-0104,Office Supplies,71.11,7.6,0.1
ORD-00229,2024-04-14,CUST-0095,Technology,380.73,58.05,0.12
ORD-00230,2024-04-25,CUST-0041,Furniture,298.9,-2.68,0.2
ORD-00231,2024-04-16,CUST-0091,Technology,612.97,94.47,0.12
ORD-00232,2024-04-16,CUST-0002,Furniture,417.76,17.75,0.1
ORD-00233,2024-04-01,CUST-0020,Furniture,346.42,-10.58,0.24
ORD-00234,2024-04-08,CUST-0020,Technology,407.37,40.98,0.22
ORD-00235,2024-04-08,CUST-0030,Furniture,274.44,10.15,0.11
ORD-00236,2024-04-19,CUST-0048,Technology,652.19,95.59,0.13
ORD-00237,2024-04-18,CUST-0031,Furniture,315.48,-1.16,0.19
ORD-00238,2024-05-14,CUST-0040,Furniture,397.3,19.34,0.09
ORD-00239,2024-05-18,CUST-0033,Office Supplies,73.0,4.49,0.18
ORD-00240,2024-05-23,CUST-0104,Technology,558.63,82.42,0.13
ORD-00241,2024-05-10,CUST-0030,Furniture,599.61,29.72,0.09
ORD-00242,2024-05-04,CUST-0073,Technology,746.99,106.28,0.14
ORD-00243,2024-05-11,CUST-0097,Office Supplies,105.87,12.38,0.08
ORD-00244,2024-05-18,CUST-0016,Technology,49.29,6.63,0.16
ORD-00245,2024-05-23,CUST-0075,Office Supplies,99.55,10.9,0.09
ORD-00246,2024-05-07,CUST-0102,Technology,407.2,41.78,0.21
ORD-00247,2024-05-09,CUST-0060,Office Supplies,115.25,9.16,0.15
ORD-00248,2024-05-25,CUST-0010,Office Supplies,50.02,3.3,0.17
ORD-00249,2024-05-10,CUST-0042,Furniture,593.72,3.0,0.17
ORD-00250,2024-05-27,CUST-0069,Office Supplies,117.33,10.64,0.13
ORD-00251,2024-05-08,CUST-0025,Technology,579.33,94.6,0.1
ORD-00252,2024-05-10,CUST-0089,Furniture,303.9,-4.2,0.21
ORD-00253,2024-05-18,CUST-0013,Technology,460.26,53.55,0.19
ORD-00254,2024-05-02,CUST-0020,Technology,526.65,54.44,0.21
ORD-00255,2024-05-18,CUST-0034,Office Supplies,127.44,14.11,0.09
ORD-00256,2024-05-05,CUST-0042,Technology,305.79,49.42,0.11
ORD-00257,2024-05-25,CUST-0046,Furniture,458.67,1.33,0.18
ORD-00258,2024-05-28,CUST-0064,Furniture,575.88,14.54,0.14
ORD-00259,2024-05-10,CUST-0077,Technology,514.35,96.83,0.06
ORD-00260,2024-05-15,CUST-0038,Furniture,388.99,16.63,0.1
ORD-00261,2024-05-02,CUST-0094,Technology,209.37,21.01,0.22
ORD-00262,2024-05-28,CUST-0068,Technology,768.76,144.43,0.06
ORD-00263,2024-05-27,CUST-0012,Furniture,321.48,9.82,0.13
ORD-00264,2024-05-16,CUST-0074,Technology,596.44,90.49,0.12
ORD-00265,2024-05-21,CUST-0069,Technology,516.44,92.32,0.07
ORD-00266,2024-05-05,CUST-0089,Office Supplies,142.17,15.5,0.09
ORD-00267,2024-05-19,CUST-0079,Technology,614.86,75.92,0.18
ORD-00268,2024-05-03,CUST-0070,Office Supplies,52.48,5.08,0.11
ORD-00269,2024-05-04,CUST-0071,Office Supplies,172.25,20.8,0.07
ORD-00270,2024-05-14,CUST-0081,Furniture,472.92,0.78,0.18
ORD-00271,2024-05-26,CUST-0067,Furniture,153.33,-8.52,0.28
ORD-00272,2024-05-25,CUST-0084,Furniture,463.7,-7.9,0.21
ORD-00273,2024-05-15,CUST-0086,Furniture,23.36,-1.19,0.27
ORD-00274,2024-05-10,CUST-0106,Office Supplies,98.77,13.11,0.05
ORD-00275,2024-05-14,CUST-0015,Office Supplies,63.58,3.59,0.19
ORD-00276,2024-05-20,CUST-0043,Technology,712.61,86.3,0.18
ORD-00277,2024-05-24,CUST-0097,Technology,564.18,81.94,0.14
ORD-00278,2024-05-25,CUST-0048,Technology,345.71,66.09,0.05
ORD-00279,2024-05-07,CUST-0085,Technology,513.03,69.74,0.15
ORD-00280,2024-05-03,CUST-0106,Technology,593.83,87.16,0.13
ORD-00281,2024-05-06,CUST-0078,Technology,616.14,81.81,0.16
ORD-00282,2024-05-06,CUST-0043,Furniture,510.14,21.03,0.11
ORD-00283,2024-05-15,CUST-0065,Technology,247.05,24.21,0.22
ORD-00284,2024-05-16,CUST-0111,Office Supplies,77.16,7.35,0.12
ORD-00285,2024-05-08,CUST-0046,Technology,317.1,57.08,0.07
ORD-00286,2024-05-10,CUST-0052,Technology,495.13,87.99,0.08
ORD-00287,2024-05-15,CUST-0028,Office Supplies,98.64,12.0,0.07
ORD-00288,2024-05-08,CUST-0111,Technology,404.73,58.75,0.14
ORD-00289,2024-05-26,CUST-0066,Office Supplies,127.8,18.98,0.02
ORD-00290,2024-05-19,CUST-0074,Office Supplies,54.72,4.92,0.13
ORD-00291,2024-05-07,CUST-0120,Office Supplies,95.65,7.11,0.16
ORD-00292,2024-05-18,CUST-0077,Furniture,596.78,4.54,0.17
ORD-00293,2024-05-05,CUST-0020,Technology,414.79,55.1,0.16
ORD-00294,2024-05-27,CUST-0056,Office Supplies,98.36,8.62,0.13
ORD-00295,2024-06-02,CUST-0107,Technology,672.81,84.2,0.17
ORD-00296,2024-06-10,CUST-0120,Technology,582.54,100.03,0.09
ORD-00297,2024-06-27,CUST-0011,Furniture,299.15,-4.73,0.21
ORD-00298,2024-06-10,CUST-0036,Furniture,403.6,16.35,0.11
ORD-00299,2024-06-15,CUST-0090,Furniture,415.6,8.75,0.14
ORD-00300,2024-06-23,CUST-0093,Office Supplies,132.81,16.19,0.07
ORD-00301,2024-06-09,CUST-0009,Furniture,353.14,-2.54,0.19
ORD-00302,2024-06-16,CUST-0106,Furniture,380.11,-0.3,0.18
ORD-00303,2024-06-20,CUST-0071,Furniture,410.83,16.58,0.11
ORD-00304,2024-06-14,CUST-0054,Technology,618.46,82.88,0.16
ORD-00305,2024-06-20,CUST-0058,Office Supplies,59.32,6.15,0.1
ORD-00306,2024-06-03,CUST-0045,Technology,629.88,89.24,0.14
ORD-00307,2024-06-22,CUST-0064,Technology,745.81,108.7,0.14
ORD-00308,2024-06-19,CUST-0016,Office Supplies,111.12,9.08,0.14
ORD-00309,2024-06-01,CUST-0031,Furniture,260.98,-15.72,0.29
ORD-00310,2024-06-22,CUST-0025,Office Supplies,64.47,5.77,0.13
ORD-00311,2024-06-19,CUST-0036,Office Supplies,115.41,7.54,0.17
ORD-00312,2024-06-25,CUST-0105,Technology,598.37,99.46,0.1
ORD-00313,2024-06-17,CUST-0060,Technology,507.13,83.71,0.1
ORD-00314,2024-06-09,CUST-0048,Office Supplies,130.84,13.39,0.1
ORD-00315,2024-06-19,CUST-0021,Technology,577.56,103.63,0.07
ORD-00316,2024-06-27,CUST-0044,Furniture,129.85,-3.49,0.23
ORD-00317,2024-06-03,CUST-0117,Furniture,346.55,12.96,0.11
ORD-00318,2024-06-14,CUST-0015,Furniture,347.06,-17.24,0.27
ORD-00319,2024-06-22,CUST-0081,Technology,497.26,93.38,0.06
ORD-00320,2024-06-06,CUST-0091,Technology,293.23,42.16,0.14
ORD-00321,2024-06-23,CUST-0089,Technology,714.31,106.14,0.13
ORD-00322,2024-06-22,CUST-0046,Furniture,520.58,-4.89,0.2
ORD-00323,2024-06-27,CUST-0115,Office Supplies,127.38,13.99,0.09
ORD-00324,2024-06-02,CUST-0024,Office Supplies,109.25,13.59,0.06
ORD-00325,2024-06-11,CUST-0022,Furniture,571.48,21.66,0.11
ORD-00326,2024-06-04,CUST-0103,Technology,705.87,102.42,0.14
ORD-00327,2024-06-13,CUST-0063,Office Supplies,93.53,9.26,0.11
ORD-00328,2024-06-27,CUST-0114,Office Supplies,92.23,8.08,0.13
ORD-00329,2024-06-22,CUST-0085,Office Supplies,112.37,11.89,0.1
ORD-00330,2024-06-15,CUST-0015,Office Supplies,64.32,3.3,0.2
ORD-00331,2024-06-07,CUST-0006,Furniture,420.23,19.58,0.1
ORD-00332,2024-06-20,CUST-0066,Furniture,464.43,-16.07,0.24
ORD-00333,2024-06-21,CUST-0006,Office Supplies,65.71,6.77,0.1
ORD-00334,2024-06-02,CUST-0092,Furniture,411.92,-29.37,0.31
ORD-00335,2024-06-18,CUST-0011,Technology,78.32,9.25,0.19
ORD-00336,2024-06-10,CUST-0036,Technology,402.06,37.66,0.23
ORD-00337,2024-06-23,CUST-0116,Furniture,527.72,0.17,0.18
ORD-00338,2024-06-01,CUST-0014,Furniture,438.02,1.34,0.18
ORD-00339,2024-06-20,CUST-0092,Office Supplies,98.84,8.24,0.14
ORD-00340,2024-06-23,CUST-0019,Office Supplies,65.8,5.4,0.14
ORD-00341,2024-06-18,CUST-0082,Technology,547.26,82.91,0.12
ORD-00342,2024-06-14,CUST-0070,Technology,461.87,64.07,0.15
ORD-00343,2024-06-27,CUST-0032,Technology,367.78,58.23,0.11
ORD-00344,2024-06-15,CUST-0002,Office Supplies,85.45,7.71,0.13
ORD-00345,2024-06-21,CUST-0102,Office Supplies,82.69,3.81,0.21
ORD-00346,2024-06-16,CUST-0030,Office Supplies,85.75,9.81,0.08
ORD-00347,2024-06-10,CUST-0020,Office Supplies,65.14,8.39,0.06
ORD-00348,2024-06-09,CUST-0050,Furniture,208.02,-10.26,0.27
ORD-00349,2024-06-16,CUST-0100,Furniture,297.1,-4.1,0.21
ORD-00350,2024-06-08,CUST-0099,Office Supplies,62.61,7.27,0.08
ORD-00351,2024-06-05,CUST-0071,Furniture,363.38,4.76,0.16
ORD-00352,2024-06-20,CUST-0091,Furniture,239.05,4.47,0.15
ORD-00353,2024-06-05,CUST-0095,Furniture,447.75,-4.44,0.2
ORD-00354,2024-06-09,CUST-0113,Office Supplies,106.52,7.77,0.16
ORD-00355,2024-06-28,CUST-0076,Office Supplies,32.99,1.72,0.2
ORD-00356,2024-06-26,CUST-0047,Furniture,429.26,4.31,0.16
ORD-00357,2024-06-27,CUST-0076,Furniture,199.52,-7.14,0.25
ORD-00358,2024-06-24,CUST-0035,Technology,530.9,99.57,0.06
ORD-00359,2024-06-19,CUST-0030,Technology,590.31,80.81,0.15
ORD-00360,2024-06-22,CUST-0096,Furniture,387.13,12.89,0.12
ORD-00361,2024-06-05,CUST-0027,Furniture,444.45,1.74,0.17
